key,القيمة
lang_yes_all_message,نعم جميع - اللغة وحدات وحذف من النظام.
language_id,لغة
lang_string_key,مفتاح
lang_string_value,القيمة
lang_string_info,معلومات سلسلة اللغة
select_language,اللغة المختارة
btn_import,استيراد
csv_symbol_link,نموذج ملف CSV هنا
lang_str_search,بحث سلسلة اللغة
success_langstr_import,سلسلة اللغة بنجاح تحميل ملف CSV
lang_str_add,إضافة سلسلة اللغة
lang_str_edit,تحرير سلسلة اللغة
lang_active,نشيط
lang_deactive,إبطال
success_lang_str_edit,تم تحديث سلسلة اللغة بنجاح
success_lang_str_add,تمت إضافة سلسلة اللغة بنجاح
err_lang_str_name,يرجى تقديم لغة اسم سلسلة
err_lang_str_len,يجب أن يكون طول سلسلة لغة أكبر من 4
err_lang_str_exist,وجدت سلسلة اللغة بالفعل في النظام
lang_title,اللغة محذوفة؟
lang_warning,لا يمكنك حذف اللغة النشطة.
btn_ok,حسنا
list_lang_label,اللغات
list_lang_str_label,لغة سلاسل
err_lang_symbol,يرجى تقديم رمز اللغة
entry_group,دخول
reports_group,تقارير
user_mang_group,إدارة المستخدمين
miscellaneous_group,متنوع
setting_group,ضبط
ple_sub_cat_name,يرجى اسم الفئة الفرعية
ple_highlight_info,يرجى تسليط الضوء على معلومات
forget_pwd,هل نسيت كلمة المرور؟
remove_label,إزالة
paid_item_module,تقرير الملكية المدعومة
his_info,معلومات التاريخ
start_date_label,تاريخ البدء
end_date_label,تاريخ الانتهاء
amount_label,كمية
payment_method_label,طريقة الدفع او السداد
progress_label,تقدم
finished_label,تم الانتهاء من
not_yet_start_label,لم يبدأ بعد
today_label,اليوم
backend_setting_module,إعداد الخلفية
backend_config_info_lable,الخلفية معلومات إعداد
sender_name_label,اسم المرسل
receive_email_label,استلام بريد الكتروني
sender_email_label,البريد الإلكتروني المرسل
img_section,القسم صورة
fcm_api_key_label,مفتاح API FCM
backend_login_img,الخلفية الدخول صورة الخلفية
backend_logo,الخلفية شعار
backend_fav_icon,الخلفية الصوت العربي الحر منظمة البن الدولية
upload_backend_logo,تحميل الخلفية شعار
upload_fav_icon,تحميل الصوت العربي الحر أيقونة
upload_login_img,إضافة أغاني دخول صور
transaction_module,المعاملات التاريخ
history_search,المعاملات عمليات البحث السابقة
trans_history_info,المعاملات معلومات التاريخ
today_label,اليوم
second_ago,ثواني
minute_ago,الدقائق
hour_ago,ساعات
day_ago,أيام
week_ago,أسابيع
month_ago,الشهور
year_ago,سنوات
decade_ago,عقود
just_now_label,في هذة اللحظة
ago_label,منذ
user_acc_reg_label,جديد التسجيل في حساب المستخدم
user_register_success_but_email_not_send,تسجيل المستخدم النجاح ولكن لا ترسل البريد الإلكتروني
pwd_reset_label,إعادة تعيين كلمة المرور
hi_label,مرحبا
pwd_reset_link,الرجاء الضغط على الرابط التالي لإعادة تعيين كلمة المرور الخاصة بك
reset_link_label,إعادة تعيين كلمة المرور
best_regards_label,تحياتي الحارة
new_user_acc,تم إنشاء حساب المستخدم الجديد الخاص بك. مرحبًا بك في Ad House. يرجى التحقق من الرمز الموجود أدناه لتنشيط حسابك.
verify_code_label,كود التحقق
hi_admin_label,مرحبا الادارية
name_label,اسم
email_label,البريد الإلكتروني
phone_label,هاتف
msg_label,رسالة
verify_code_sent,تم إرسال رمز التحقق.
user_id_required,مطلوب هوية المستخدم.
invalid_login_user_id,معرف المستخدم غير صالح.
already_accept_user,وقد تم قبول المستخدم.
sender_id_required,مطلوب هوية المرسل
success_delete,تم الحذف بنجاح.
success_cat_request,طلبك بنجاح.
err_cat_request,عذرا، طلبك لا نجاح.
err_chat_history_save,عذرا، سجل الدردشات غير قادرة على حفظ.
accept_reset_success,طلبك دردشة بنجاح.
error_delete_chat_history,عذرا، سجل الدردشات غير قادرة على حذف.
success_delete_chat_history,سجل الدردشات حذف بنجاح.
err_soldout_reset,عذرا، لا يمكنك راحة لمدة بيعت.
soldout_reset_success,وقد تم إعادة تعيين نجاحك.
err_item_report,عذرا، لم تكن قادرة على تقرير البند.
token_already_exist,عذرا، جهاز التوثيق بالفعل موجودة.
err_in_noti_read,عذرا، إعلام غير قادر على القراءة.
success_noti_send,وقد أرسلت إخطارا بنجاح.
error_noti_send,عذرا، إعلام غير قادرة على إرسال.
invalid_code,عذرا، التعليمات البرمجية غير صالح.
forget_pwd,هل نسيت كلمة المرور؟
remove_label,إزالة
btn_no,لا
ple_model_name,إرضاء اسم الموديل
err_paid_item_history,إعلانك لا ينتهي بعد ذلك أنه ليس قادرا على تعديل.
paid_config_module,إعداد الدفع
currency_symbol_label,رمز العملة (على سبيل المثال؛ $)
paypal_env_label,باي بال البيئة
paypal_merchant_label,باي بال ID تاجر
paypal_pub_label,باي بال المفتاح العمومي
paypal_pri_label,باي بال مفتاح خاص
paypal_enabled_label,وباي بال ممكن؟
stripe_publishable_key,للنشر مفتاح
stripe_secret_key,سر مفتاح
stripe_enable_label,تمكين الشريط الدفع؟
stripe_label,[الخيار 2]: الدفع مع الشريط
paypal_label,[الخيار 1]: الدفع مع باي بال ممكن
day_label,يوم
paid_config_info_lable,دفعت معلومات التكوين
paid_currrency_setting,إعداد رمز العملة
paid_paypal_setting,إعداد باي بال
paid_stripe_setting,إعداد شريط
overlooking_label,تطل على
itm_select_overlooking,تطل على
list_product_nav,خاصية
prd_add,إضافة خاصية
att_add,إضافة سمة جديدة
add_att_detail,إضافة جديد السمة التفاصيل
list_attribute_header,السمة قائمة رأس
wrn_no_data,لا توجد بيانات حتى الآن
item_name,اسم الخاصية
att_name,اسم السمة
Prd_search_cat,حدد اسم التصنيف
Prd_search_dis,اختر نوع الخصم
product_gallery,صور العقار
prd_info,معلومات الملكية
rec_prd_info,خصائص أضيفت مؤخرا
att_info,معلومات السمة
prd_desc,وصف العقار
prd_high_info,معلومات تسليط الضوء على الممتلكات
prd_edit,تحرير خاصية
prd_code,قانون الملكية
success_prd_add,تمت إضافة خاصية بنجاح
success_prd_edit,تم تحديث خاصية بنجاح
success_upload,تم تحديث الصورة بنجاح
delete_prd_label,حذف الملكية؟
prd_yes_all_message,عند حذف هذه الخاصية ، سيتم حذف جميع الفئات الفرعية والفئات ذات الصلة أيضًا. لذا ، هل ما زلت تريد الحذف
success_prd_delete,تم حذف خاصية بنجاح
prd_search,البحث عن عقار
err_item_name,يرجى تقديم اسم الخاصية
err_item_len,يجب أن يكون طول اسم الملكية أكبر من 4
err_item_exist,وجدت اسم الملكية بالفعل في النظام
item_gallery,صور العقار
condition_of_item,حالة من الملكية
item_description_label,وصف
deal_option_id_label,صفقة الخيار
meet_up_label,نلتقي
mailing_or_delivery_label,بريدية أو تسليم
brand_label,علامة تجارية
price,السعر
itm_title_label,عنوان
itm_business_mode,هو محل؟
itm_show_shop,(إذا كان يمكن أن تظهر للمستخدم من أجل أكثر من واحد)
itm_is_sold_out,وبيعت؟
location_info_label,معلومات الموقع
itm_address_label,عنوان
itm_lat_label,خط العرض
itm_lng_label,خط الطول
itm_select_price,حدد السعر نوع
itm_select_type,اختر نوع العقار
itm_select_currency,اختيار العملة الملكية
status_label,الحالة
select_status_label,اختر الحالة
itm_select_location,حدد موقع العقار
find_location_label,اكتب والبحث عن موقع من API جوجل
itm_select_condition_of_item,اختر الحالة الممتلكات
itm_select_deal_option,اختر صفقة الخيار
configuration_info_label,ترتيب
price_info_label,السعر
floor_number_label,رقم الدور
facing_number_label,مواجهة
postedby_info_label,منشور من طرف
overlooking_label,تطل على
property_status_label,الحالة الممتلكات
others_label,الآخرين
amenities_info_label,وسائل الراحة
area_info_label,منطقة
super_build_up_area_label,سوبر بناء منطقة
build_up_area_label,بناء منطقة
carpet_area_label,صافي المساحة
land_size_label,حجم الأرض
rooms_label,غرف
bath_rooms_label,حمام غرف
rooms_confi_label,تكوين غرف
price_unit_label,سعر الوحدة
price_note_label,سعر ملاحظة
is_nagotiable_label,قابل للتفاوض؟
floor_level_label,مستوى الطابق
facing_label,مواجهة
itm_select_posted,منشور من طرف
itm_select_overlooking,تطل على
property_age_label,العمر الملكية
currently_tenanted_label,حاليا المؤجرة
itm_select_availabel,توفر
availabel_for_label,متاح لى
tenure_label,فترة
construction_status_label,حالة البناء
possession_date_label,ملكية
itm_select_project,نوع المشروع
property_owner_label,الملكية
developer_label,مطور
furnishing_label,تأثيث
flooring_label,أرضية
water_source_label,مصدر المياه
width_of_facing_road_label,عرض الطريق التي تواجه
parking_label,موقف سيارات
power_backup_label,الطاقة الاحتياطية
itm_is_lift,هو ارفع؟
itm_is_park,هو بارك؟
itm_is_gymnasium,غير صالة للألعاب الرياضية
itm_is_swimming_pool,هو بركة سباحة؟
itm_is_security_personnel,هل رجال الأمن؟
itm_is_gas_pipeline,هو خط أنابيب الغاز؟
itm_is_club_house,هو بيت النادي؟
itm_is_wheelchair_friendly,هل تسهيلات لدخول الكراسي ودية؟
itm_is_pet_friendly,غير مسموح باصطحاب الحيوانات الأليفة؟
itm_is_maintenance_staff,غير الموظفين الصيانة؟
item_property_module,الملكية المبلغ عنها
success_backend_edit,تم تحديث إعداد الخلفية بنجاح
smtp_section,تكوين SMTP
smtp_host_label,المضيف SMTP
smtp_host_placeholder,على سبيل المثال: SSL: //smtp.hostmail.com
smtp_port_label,رقم منفذ SMTP
smtp_enable,SMTP تمكين؟
smtp_user_label,SMTP العضو
smtp_pass_label,SMTP كلمة المرور
cannot_deactive,آسف، فإنه غير قادر على تعطيل.
err_symbol_exist,وجود رمز اللغة بالفعل في النظام.
success_paypal_edit,تم تحديث التكوينات المدفوعة بنجاح
apple_verify,التحقق من Apple
policy_info,معلومات سياسة الخصوصية
content_label,المحتوى
privacy_policy_module,سياسة الخصوصية
success_policy_edit,تم تحديث سياسة الخصوصية بنجاح
success_policy_add,تمت إضافة سياسة الخصوصية بنجاح
razor_label,[الخيار 5]: الدفع باستخدام Razor
razor_key_label,مفتاح الشفرة
razor_enabled_label,هل تم تمكين الشفرة؟
btn_promote,ينمى
prd_paid_info,معلومات البند المدفوعة
app_is_approval_enabled,"الموافقة على النظام؟ (إذا كان هذا الإعداد تشغيل ""، عندما تحديث المستعمل عنصر جديد""، فإنه بحاجة إلى قبول أو رفض من سوبر المشرف.) """
approval_group,موافقة
pending_items_module,في انتظار البنود
reject_items_module,رفض العناصر
disable_items_module,تعطيل العناصر
select_status,حدد الحالة؟
pending_edit,تحرير عنصر معلق
approve_message_1,تهنئة! البند المعتمد (
approve_message_2,)
disable_message_1,آسف! تعطيل البند (
disable_message_2,)
reject_message_1,آسف! رفض البند (
reject_message_2,)
reject_edit,تحرير رفض العناصر
disable_edit,تحرير عناصر تعطيل
noti_sent_fail,فشل في إرسال إشعار الدفع
noti_sent_success,تم إرسال إشعار الدفع بنجاح إلى
success_app_setting_edit,تم تحديث إعداد التطبيق بنجاح
إعداد اسم القائمة الفرعية,مجموعة الوحدات
group_name,اسم مجموعة الوحدة النمطية
group_icon,رمز مجموعة الوحدة النمطية
group_lang_key,مفتاح اللغة
group_info,معلومات مجموعة الوحدة النمطية
group_search,مجموعة وحدة البحث
group_add,إضافة مجموعة الوحدة النمطية
success_group_edit,تم تعديل مجموعة الوحدة بنجاح
success_group_add,تمت إضافة مجموعة الوحدة النمطية بنجاح
group_edit,تحرير مجموعة الوحدة النمطية
success_group_delete,تم حذف مجموعة الوحدة النمطية بنجاح
err_group_name,يرجى تقديم مجموعة الوحدة النمطية
err_group_len,يجب أن يكون طول اسم مجموعة الوحدة النمطية أكبر من 4
err_group_exist,اسم مجموعة الوحدة النمطية موجود بالفعل
module_lang,إعداد اسم القائمة الفرعية
module_desc,وصف
module_ordering,الطلب
module_add,أضف الوحدة
module_info,معلومات الوحدة
module_name,اسم وحدة
is_show_on_menu,هل تظهر في القائمة؟
module_lang_key,مفتاح لغة الوحدة
module_select_group,حدد مجموعة الوحدة النمطية
delete_module_label,حذف الوحدة؟
module_delete_confirm_message,هل أنت متأكد من حذف هذه الوحدة؟
delete_group_label,حذف مجموعة الوحدة النمطية؟
group_delete_confirm_message,هل أنت متأكد من حذف مجموعة الوحدة هذه؟
err_module_name,يرجى تقديم اسم الوحدة
err_module_len,يجب أن يكون طول اسم الوحدة أكبر من 4
err_module_exist,اسم الوحدة موجود بالفعل
module_search,اسم وحدة البحث
success_module_edit,تم تحديث الوحدة بنجاح.
success_module_add,تمت إضافة الوحدة بنجاح.
module_edit,تحرير الوحدة
success_module_delete,تم حذف الوحدة بنجاح.
approval_yes_all_message,هل انت متأكد من الحذف؟
err_user_phone_exist,هاتف المستخدم موجود بالفعل.
delete_system_user_label,حذف مستخدم النظام؟
system_user_delete_confirm_message,هل أنت متأكد من حذف مستخدم النظام هذا؟
loc_ordering,الطلب
record_not_found,10001 ## آسف ، السجل غير موجود.
no_record_pagination,10002 ## آسف ، لا يوجد المزيد من السجلات في النظام.
offline_paid_module,طلب عناصر مدعومة دون اتصال
offline_paid_prd_info,معلومات العناصر المدفوعة دون اتصال بالإنترنت
offline_paid_edit,تحرير العنصر المدفوع دون اتصال
offline_setting,إعداد غير متصل بالشبكة
offline_label,[الخيار 4]: الدفع بدون الاتصال بالإنترنت
offline_message,رسالة
offline_enabled_label,هل ممكن دون اتصال؟
prd_paid_info,معلومات السلعة المدفوعة
offline_info,معلومات الدفع دون اتصال
offline_title_label,عنوان الدفع دون اتصال
offline_description_label,وصف الدفع دون اتصال
offline_icon,أيقونة الدفع دون اتصال
offline_search,بحث الدفع دون اتصال
offline_add,إضافة الدفع دون اتصال
offline_edit,تحرير الدفع دون اتصال
success_offline_edit,تم تحديث الدفع دون اتصال بنجاح
success_offline_add,تمت إضافة الدفع دون اتصال بنجاح
success_offline_delete,تم حذف الدفع دون اتصال بنجاح
err_offline_name,يرجى تقديم عنوان الدفع دون اتصال
err_offline_len,يجب أن يكون طول عنوان الدفع دون اتصال بالإنترنت أكبر من 4
err_offline_exist,عنوان Paymen غير متصل موجود بالفعل في النظام
delete_offline_label,حذف الدفع دون اتصال؟
offline_delete_confirm_message,هل تريد حذف جميع المدفوعات غير المتصلة بالإنترنت؟
offline_yes_all_label,نعم
offline_no_only_label,إلغاء
offline_payment,إعداد الدفع دون اتصال
offline_paid_module,طلب عناصر مدعومة دون اتصال
img_configuration,تكوين الصورة
land_width_label,عرض أفقي
potrait_height_label,ارتفاع الصورة
square_label,ارتفاع مربع
err_lat,يرجى تقديم خط العرض
err_lng,يرجى تقديم خط الطول
err_lat_lng,لا يجب أن يكون خط العرض والطول 0.0
offline_yes_all_message,هل تريد حذف كل المبالغ حاليا؟
email_verification_enabled," ""أرسل ممكن التحقق؟ (إذا كان هذا الإعداد"" تشغيل ""عند تسجيل المستخدم باستخدام البريد الإلكتروني وسوف ترسل رمز التحقق إلى البريد الإلكتروني للمستخدم مسجل.)"""
user_auto_approved,تم إنشاء حساب المستخدم الجديد. مرحبا بكم في منازل الإعلان.
user_not_able_delete," ""عذرا، هذا هو حساب النظام حتى لا يكون قادرا على تعطيل."""
success_block,وقد تم حظر المستخدم بنجاح.
success_unblock,تم إلغاء حظر المستخدم بنجاح.
no_user_unblock,غير قادر على إلغاء حظر المستخدم.
unable_to_report,غير قادر على الإبلاغ عن هذا البند لأنه البند الخاص بك.
success_logout,كان المستخدم بنجاح الخروج.
already_report,لقد ذكرت بالفعل لهذا البند.
lat_invlaid,خط العرض يجب أن تكون بين -90 و 90 درجة ضمنا.
lng_invlaid,يجب أن يكون خط الطول بين -180 و 180 درجة شامل.
paystack_setting,إعداد Paystack
paystack_label,[الخيار 5]: الدفع مع Paystack
paystack_key_label,Paystack مفتاح
paystack_enabled_label,وPaystack ممكن؟
purchase_add,إضافة في المنتج التطبيق
in_app_purchase_info,في معلومات التطبيقات المشتراة
app_purchase_product_id_label,في التطبيق شراء رقم المنتج
purchase_description_label,
purchase_type_label,اكتب
err_purchase_description,يرجى تقديم الوصف
success_purchase_edit,في تطبيق تم شراؤه تم تحديث بنجاح.
delete_purchase_label,حذف في التطبيق شراؤها؟
purchase_yes_all_message,هل تريد حذف في التطبيقات المشتراة؟
success_purchase_delete,في التطبيق قد تم حذفه بنجاح شراؤها.
in_app_purchased_setting,في التطبيقات إعداد شراؤها
purchase_key_label,يمكنك تسديد المبلغ ب في التطبيق شراء
purchase_enabled_label,وشراء ممكن؟
err_purchase_id,يرجى تقديم رقم شراء.
btn_duplicate,مكرر
success_prd_duplicate_add,تمت إضافة عنصر مكرر بنجاح ،
deeplink_section,قسم الربط العميق
dyn_link_key_label,مفتاح الارتباط الديناميكي
dyn_link_url_label,رابط ديناميكي URL
dyn_link_package_name_label,اسم حزمة الارتباط الديناميكي
dyn_link_domain_label,مجال الربط الديناميكي
dyn_link_deep_url_label,رابط عميق للرابط
prd_dynamic_link_label,رابط ديناميكي للمنتج
dyn_link_package_name_ios,دينامية ربط IOS اسم الحزمة
dyn_link_ios_appstore_id,ارتباط ديناميكي IOS أبستور رقم
location_townships,البلدات الموقع
location_township_add,إضافة موقع بلدة
township_edit,تحرير بلدة
location_township_name,اسم الموقع البلدات
township_name,اسم البلدة
err_township_name,يرجى تقديم اسم بلدة
err_township_len,يجب أن يكون طول اسم بلدة أكبر من 4
township_search,بحث بلدة
success_township_edit,تم تحديث بلدة بنجاح
success_township_add,تمت إضافة بلدة بنجاح
property_by,الملكية بواسطة
property_add,إضافة الملكية بواسطة
property_search,البحث عن عقار بواسطة
property_info,الملكية بالمعلومات
property_name,الملكية بالاسم
success_property_add,تمت إضافة الخاصية بواسطة بنجاح
success_property_edit,تم تحرير الخاصية بواسطة بنجاح.
success_property_delete,تم حذف الخاصية بواسطة بنجاح.
err_property_name,يرجى تقديم العقار بالاسم.
err_property_len,يجب أن يكون طول الخاصية بالاسم أكبر من 4.
err_property_exist,الخاصية بالاسم موجودة بالفعل.
delete_property_label,حذف الملكية بواسطة؟
property_delete_confirm_message,هل تريد حذف الخاصية عن طريق؟
property_edit,تحرير الخاصية بواسطة
amenities,وسائل الراحة
amenity_name,اسم وسائل الراحة
amenity_add,أضف وسائل الراحة
amenity_img,صورة وسائل الراحة
amenities_info_label,معلومات وسائل الراحة
success_amenity_add,تمت إضافة وسائل الراحة بنجاح.
success_amenity_edit,تم تحرير وسائل الراحة بنجاح.
delete_amenity_label,حذف وسائل الراحة؟
amenity_delete_confirm_message,هل تريد حذف الراحة؟
amenity_edit,تحرير وسائل الراحة
amenity_search,وسائل الراحة البحث
success_amenity_delete,تم حذف الراحة بنجاح.
color,اللون
purchase_search,البحث في شراء التطبيق
purchase_edit,تحرير في شراء التطبيق
item_property_name,الملكية بالاسم
area_label,منطقة
configuration_label,ترتيب
itm_select_property,حدد الملكية بواسطة
is_negotiable,قابل للتفاوض
itm_select_location_township,حدد موقع العقار المدينة
itm_select_location_city,حدد موقع العقار المدينة
itm_select_postedby,حدد خاصية تم نشرها بواسطة
Prd_search_location_township,حدد موقع العقار المدينة
data_delete_info,بيانات حذف معلومات سياسة
success_data_deletion_add,تمت إضافة نهج حذف البيانات بنجاح.
success_data_deletion_edit,تم تحديث سياسة حذف البيانات بنجاح.
data_deletion_module,سياسة حذف البيانات
data_deletion_policy_url,URL سياسة حذف البيانات
Data_deletions_policies,سياسات حذف البيانات
Privacy_policies,سياسات الخصوصية
privacy_policy_url,URL سياسة الخصوصية
total_property_count_label,إجمالي الملكية بواسطة
total_postedby_count_label,إجمالي أرسلت بواسطة
propertyby_img,الملكية بواسطة صور
propertyby_icon,الملكية بواسطة أيقونة
floor_label,رقم الطابق
owner_name,اسم المالك
owner_of_item,صاحب البند
payment_status,حالة السداد
waiting_for_payment_label,بانتظار الموافقة
paid_label,دفع
paid_reject_label,رفض
select_payment_status_label,حدد الدفع الحالة تسمية
is_sub_location,"فرعية الموقع في؟ (إذا كان هذا الإعداد ""تشغيل"" عندما يقوم المستخدم بفتح التطبيق الحاجة المستخدم لاختيار موقع فرعي (بلدة) ضمن الموقع (المدينة))"
thumbnail_generators_lng,تصغير مولد
btn_create_thumbnail,صورة مصغرة (1x2x3x) مولد
thumb_1x_label,صورة مصغرة 1X حجم الصورة
thumb_2x_label,تصغير حجم الصورة 2X
thumb_3x_label,صورة مصغرة 3X حجم الصورة
image_lists_lng,قوائم صورة
img_name,اسم الصورة
success_img_create,صورة مصغرة 2X، 3X تم إنشاء بنجاح.
img_not_exist,لم تكن موجودة الصورة في مجلد تحميل.
recommended_size_img,الحجم الموصى به: 400 × 200
recommended_size_icon,الحجم الموصى به: 200 × 200
user_social_info_override,تجاهل المعلومات الاجتماعية للمستخدم؟ إذا تم التحقق، فسيتم الكتابة فوق المعلومات الاجتماعية للمستخدم عند تسجيل الدخول باستخدام (Google و Facebook و Phone and Apple، إلخ ...)
applied_date_label,تاريخ التطبيق (DD / مم / YYYY)
pending,قيد الانتظار
verified,تم التحقق
rejected,مرفوض
all,الجميع
currency_info,معلومات العملة
is_default,تقصير
success_agent_edit,تم تحديث الوكيل بنجاح
agent_edit,تحرير وكيل
cannot_apply_agent,آسف! لا يمكنك تطبيق وكيل
app_token_label,رمز التطبيق (لصورة الملف الشخصي على Facebook)
already_sold_out,تم بيع العنصر بالفعل ولا يمكنك تقديم عرض.
is_show_email,إظهار البريد الإلكتروني
is_show_phone,إظهار الهاتف
township_success_edit,تم تحديث بلدة بنجاح.
already_agent,لا يمكنك تطبيق وكيل مرة أخرى لأنك وكيل بالفعل.
agent_pending,لا تزال في انتظار، يرجى الانتظار موافقة المسؤول.
success_agent_delete,تم حذف الوكيل بنجاح.
cannot_sold_out,لا يمكنك بيع هذا البند.
cannot_chat,لا يمكنك الدردشة هذا العنصر.
you_bought,انت اشتريت
item_video_label,البند الفيديو
item_video_icon_label,أيقونة الفيديو البند
price_cannot_zero,لا يمكن أن يكون السعر صفرًا
err_price,يرجى تقديم سعر العنصر
deeplink_note_label,ملاحظة - تم إنشاء ارتباط ديناميكي للعنصر بواسطة هذه الإعدادات المذكورة أعلاه. إذا كنت تريد التجديد باستخدام الإعداد الجديد ، فيرجى تغيير الإعداد هنا:
go_to_be_setting_label,انتقل إلى إعداد الخلفية
thumb2x_3x_settting_off,إنشاء صورة مصغرة 2x ، إعداد 3x متوقف.
create_thumb2x_folder,مجلد Thumbnail2x غير موجود ، يرجى إنشائه أولاً. أو يمكنك إيقاف إنشاء إعداد thumb2x و 3x.
create_thumb3x_folder,مجلد Thumbnail3x غير موجود ، يرجى إنشاؤه أولاً. أو يمكنك إيقاف إنشاء إعداد thumb2x و 3x.
thumb2x_already_existed,الصورة موجودة بالفعل في مجلد thumbnail2x.
thumb3x_already_existed,الصورة موجودة بالفعل في مجلد thumbnail3x.
thumb2x_thumb3x_already_existed,الصورة موجودة بالفعل في مجلدات thumbnail2x و thumbnail3x.
thumbnail_generator_label,سيتم إنشاء الصور المصغرة لكل عنصر. يرجى ملاحظة أن هذه العملية ستستغرق بعض الوقت بناءً على بياناتك
is_thumb2x_3x_generate,"الصورة المصغرة 2x ، الإعداد 3x؟ (إذا كان هذا الإعداد ""تشغيل"" عند تحميل الصورة ، فسيؤدي ذلك إلى إنشاء صورة مصغرة 2x وصورة مصغرة 3x تلقائيًا.)"
err_currency_symbol,يرجى تقديم رمز العملة.
Item_currency,عملة العنصر
Image_lists,قوائم الصور
Thumbnail_generators,مولدات الصور
demo_login,تسجيل الدخول بحساب تجريبي
need_accept_offer,هذا العنصر مطلوب لقبول العرض أولاً.
need_make_offer,هذا العنصر مطلوب لتقديم عرض أولاً.
already_accept_offer,هذا العنصر هو بالفعل عرض.
already_reject_offer,هذا البند قد تم رفض العرض بالفعل.
already_rejected,هذا البند قد تم رفض العرض بالفعل.
cannot_default,معذرةً ، إنه غير قادر على التراجع عن الإعداد الافتراضي.
cannot_unpublish,عذرًا ، لا يمكنه إلغاء النشر للعملة الافتراضية.
approve_item,الموافقة على العنصر
disable_item,تعطيل العنصر
reject_item,رفض البند
receive_rating_from,الحصول على تصنيف من
verify_email_not_send_user,فشل في إرسال التحقق من البريد الإلكتروني إلى
need_user_bought,كان المستخدم بحاجة إلى هذا العنصر للشراء أولاً.
