,value
site_name,Ad House Admin Panel
sidebar_label,Ad House Admin
slogan,The newspaper is a greater treasure to the people than uncounted millions of gold
title_bar_seperator,|
hello,Hello! I am from language file
added_date,Date
upload_point_label,Upload Point
success_item_report,Item Report has been successfully added
profile_img,Profile Image
signin,Sign In
check_for_detail,Check for more detail!
success_delete,Successfully Deleted
success_save_contact,Thanks for contacting us. We will reach back to you soon.
success_contact_delete,Contact Message has been successfully deleted
btn_search,Search
btn_add_new,Add New
btn_edit,Edit
btn_save,Save
btn_save_gallery,Save and Go to Gallery
btn_cancel,Cancel
btn_yes,Yes
btn_delete,Delete
btn_publish,Publish
btn_replace_photo,Replace Photo
btn_replace_icon,Replace Icon
back_button,Back
lbl_view,View
chat_history_save_success,Chat history has been successfully added
chat_history_update_success,Chat history has been successfully Updated
btn_version,Version
ver_info,Version Information
ver_no_label,Version No
ver_msg_label,Version Message
ver_title_label,Version Title
ver_force_update,Version Force Update?
ver_need_data,Version Need Clear Data?
success_version_add,Version has been successfully added
success_version_edit,Version has been successfully updated
dashboard,Dashboard
no,No
del_cover_photo,Delete Cover Photo
youtube_url,Youtube URL
del_icon_label,Delete Icon
del_icon_confirm,Are you sure you want to delete the icon?
success_upload,Image has been successfully uploaded
success_img_delete,Image has been successfully deleted
error_login,Email and Password do not match
err_access,"Sorry, you have no access to take this action"
err_model,Database error occured
err_sys,System error occured
err_upload,Upload error occured
wrn_no_data,There is no data yet
del_cover_photo_confirm,Are you sure you want to delete the photo?
upload_photo,Upload photo
no_record,No more records
invalid_api_key,API Key is invalid
invalid_user_id,Invalid User Id
invalid_item_id,Invalid Item Id
role,Role
user_name,User Name
user_email,Email
user_password,Password
conf_password,Confirm Password
user_phone,Phone
allowed_modules,Allowed Modules
user_ban,Ban
user_unban,Unban
user_info,User Information
user_list,Users List
user_add,Add New User
user_edit,Edit User
user_search,Search User
err_dup_email,Email Address is already existed in the system
err_dup_name,Name is already existed in the system
err_user_name_blank,Please provide username
err_user_name_len,The length of the username must be greater than 4
err_user_email_blank,Please provide email address
err_user_email_invalid,Please provide valid email address
err_user_email_exist,Email Address is already existed in the system
err_user_pass_blank,Please provide password
err_user_pass_len,The length of the password must be greater than 4
err_user_pass_conf_blank,Please provide confirm password
err_user_pass_conf_not_match,Password and confirm password do not match
err_permission_blank,Please select which modules are able to access
success_user_add,User has been successfully added
success_user_edit,User has been succesfully updated
err_user_banned,"Sorry, you cannot login because your account is banned."
cat_info,Category Information
cat_name,Category Name
cat_ordering,Category Order
cat_img,Category Cover Photo
cat_icon,Category Icon
cat_search,Search Category
cat_select,Select Category Name
cat_add,Add Category
cat_edit,Edit Category
success_cat_edit,Category has been successfully updated
success_cat_add,Category has been successfully added
success_cat_delete,Category has been successfully deleted
err_cat_name,Please provide category name
err_cat_len,The length of Category Name must be greater than 4
err_cat_exist,Category Name is already existed in the system
delete_cat_label,Delete Category?
cat_delete_confirm_message,Do you want to delete all the wallpapers under that category together?
cat_yes_all_message,Yes All - Category and Items will delete from system.
cat_no_only_message,Only Category - Only Category will delete from system.
cat_yes_all_label,Yes All
cat_no_only_label,Only Category
over_name,Overlooking Name
over_search,Search Overlooking
over_add,Add Overlooking
over_info,Overlooking Information
over_edit,Edit Overlooking
delete_over_label,Delete Overlooking?
over_delete_confirm_message,Do you want to delete the overlookings?
over_yes_all_message,Yes All - Overlooking will delete from system.
success_over_edit,Overlooking has been successfully updated
success_over_add,Overlooking has been successfully added
success_over_delete,Overlooking has been successfully deleted
err_over_name,Please provide overlooking name
err_over_len,The length of Overlooking Name must be greater than 4
err_over_exist,Overlooking Name is already existed in the system
delete_contact_label,Delete Contact Message?
contact_delete_confirm_message,Do you want to delete the contact message?
detail_contact_label,Contact Message Detail
contact_info_label,Contact Message Information
about_contact_label,About Contact Message
contact_info_label,Contact Detail Information
contact_name,Contact Person Name
contact_email,Contact Person Email
contact_phone,Contact Person Phone
btn_reset,Reset
reset_password,Reset Password
contact_receive_message,You have received new contact us message.
nav_profile,Go to profile
nav_backend,Go to Backend
nav_logout,Logout
total_label,Total :
device_label,Device
devices_label,Devices
registered_label,has been registered for Push Notificati
noti_info,Push Notification
noti_message_label,Message
noti_message_tooltips,Please provide the messsage for push notification.
noti_send_btn,Send Push Notification
sorry_no_device,"Sorry, there is no registered device for Push Notification."
select_cat,Select Category
success_noti_add,Notification has been successfully added
success_noti_delete,Notification has been successfully deleted
delete_noti_label,Delete Notification?
noti_yes_message,Yes- Notification will delete from system.
push_message,Push Message
noti_des_label,Description
noti_img,Notification Photo
noti_search,Search Noti
select_cat,Select Category
noti_add,Add Noti
app_info_lable,About Information
about_title_label,About Title
description_label,About Description
about_email_label,About Email
about_phone_label,About Phone
about_website_label,About Website Link
about_seo_section,SEO Information
about_seo_title_label,SEO Title
about_seo_desc_label,SEO Description
about_seo_keywords_label,SEO Keywords
about_social_section,Social Information
about_facebook_label,Facebook
about_gplus_label,Google+
about_instagram_label,Instagram
about_youtube_label,Youtube
about_pinterest_label,Pinterest
about_twitter_label,Twitter
about_color_section,About Website Theme Color
about_theme,Available Themes
success_about_edit,About is successfully updated
about_ads_analyt,Google Analytic & Ads Setting
about_ads_client,Ads Client
about_ads_slot,Ads Slot
about_analyt_track_id,Analytic Track Id
about_ads_on,Enable Google Adsense
about_analyt_on,Enable Google Analytic
gdpr_label,GDPR Content
safety_tips_label,Safety Tips
about_nav_icon,Navigation Icon
about_fav_icon,Fav Icon
about_backend_icon,For Backend
total_users_count_label,Registered Users
total_cat_count_label,Total Categories
total_wallpaper_count_label,Publish Wallpapers
total_contact_label,Total Contact Message
total_likes_count_label,Total Likes Count
total_favs_count_label,Total Favourites Count
total_comments_count_label,Total Comments Count
category_panel_title,Recent Categories
recent_news_panel_title,Recent News
available_inside,News available inside this category.
contact_message,Contact Messages
recent_news_panel_title,Recent News
user_latest_members,Latest Registered Users
success_contact,Your message successfully save in the system.
file_na,Not Available
required_platform,Required Platform
err_noti_register,"Sorry, there is the problem for Push Notification registration"
success_noti_register,Your device successfully registered for Push Notification.
success_noti_unregister,Your device successfully unregistered for Push Notification.
err_noti_unregister,"Sorry, there is the problem for Push Notification unregistration"
success_touch_count,Touch Count Successfully Inserted.
err_touch_count,Problem In Touch Count!
err_user_register,"Sorry, there is the problem for user registration."
err_user_not_exist,"Sorry, user is not exist in the system."
err_user_not_verify,"Sorry, your account is not yet verify."
err_email_not_send,"Sorry, there is problem in sending email."
err_user_update,"Sorry, there is problem in updating user information."
err_user_password_update,"Sorry, there is problem in updating user's password."
success_profile_update,Your profile successfully updated.
success_email_sent,Email is sent successfully.
success_reset,Password has been reset successfully
success_reset_email_sent,Reset Email is sent successfully
trending,Trending News
editor_pick,Editor Picked News
project_name,Project Type Name
project_search,Search Project Type
att_add,Add New Attribute
add_att_detail,Add New Attribute Detail
list_attribute_header,Attribute Header List
wrn_no_data,There is no data yet
project_add,Add Project Type
att_name,Attribute Name
Prd_search_subcat,Select Subcategory Name
Prd_search_dis,Select Discount Type
project_info,Project Type Information
project_edit,Edit Project Type
delete_project_label,Delete Project Type?
att_info,Attribute Information
project_delete_confirm_message,Do you want to delete the project types?
project_yes_all_message,Yes All - Project Type will delete from system.
success_project_edit,Project Type has been successfully updated
success_project_add,Project Type has been successfully added
success_project_delete,Project Type has been successfully deleted
err_project_name,Please provide project type name
success_upload,Image has been successfully updated
err_project_len,The length of Project Type Name must be greater than 4
err_project_exist,Project Type Name is already existed in the system
item_description_label,Description
deal_option_id_label,Deal Option
meet_up_label,Meet Up
mailing_or_delivery_label,Mailing Or Delivery
brand_label,Brand
price,Price
itm_title_label,Title
itm_business_mode,Is Shop?
itm_show_shop,( If show user can order more than one )
itm_is_sold_out,Is Sold Out?
location_info_label,Location Information
itm_address_label,Address
itm_lat_label,Latitude
itm_lng_label,Longitude
itm_select_price,Select Price Type
itm_select_currency,Select Car Currency
status_label,Status
select_status_label,Select Status
find_location_label,Type & Find location from Google API
itm_select_deal_option,Select Deal Option
itm_steering_position,Steering Position
itm_no_of_owner,No Of Owner
itm_trim_name_label,Trim Name
itm_vehicle_id_label,Vehicle ID
itm_mileage_label,Mileage
itm_select_fuel,Select Fuel Types
itm_price_unit_label,Price Unit
itm_max_passengers_label,Max Passengers
itm_no_of_doors_label,No Of Doors
itm_select_build,Select Build Type
itm_select_seller_type,Select Seller Type
itm_select_color,Select Color
itm_licence_status,Is Licence Status?
plat_number_label,Plate Number
engine_power_label,Engine Power
year_label,Year
itm_select_transmission,Select Transmission Name
price_type_label,Price Type
license_expiration_date_label,License Expiration Date
other_info_lable,Others
confi_info_lable,Configuration
performance_info_lable,Performance
licence_info_lable,Licence
price_info_lable,Price
api_info,API Setting
api_title,API Setting
api_title_tooltips,API Name
api_order_by,Order By
btn_save,Save
btn_cancel,Cancel
success_api_edit,Successfully Updated
about_gallery,Gallery
wallpaper_edit,Edit Wallpaper
categories_label,Categories
messages_label,Messages
categories_label,Categories
view_all_label,View All
divider_label,:
wallpapers_label,Wallpapers
users_label,Users
app_setting,App Setting Information
apikey_info,Api Key Information
key_label,Key
success_apikey_edit,Api Key is successfully updated
success_apikey_add,Api Key is successfully added
earn_point_label,Earn Point
currency_symbol,Currency Symbol
currency_short_form,Currency Short Form
currency_add,Add Currency
success_currency_edit,Currency has been successfully updated
success_currency_add,Currency has been successfully added
success_currency_delete,Currency has been successfully deleted
delete_currency_label,Delete Currency?
currency_delete_confirm_message,Do you want to delete Currency?
currency_search,Search Currency
currency_edit,Edit Currency
err_currency_name,Please provide currency name
err_currency_len,The length of Currency Name must be greater than 4
err_currency_exist,Currency Name is already existed in the system
color_color,Color
select_type,Select Type
from_point,From Point :
to_point,To Point :
order_by,Order By :
select_order,Select Order
push_noti_sending_title,Sending Push Notification
no_device_label,There is no registered devices yet.
delete_color_label,Delete Color?
color_delete_confirm_message,Do you want to unlink all the wallpapers under that deleted color?
upload_icon,Category Icon
about_upload_icon,Upload Icon
fav_upload_icon,Fav Icon
sidebar_upload_icon,Backend Logo
btn_upload,Upload
not_enough_point,"Sorry, your point is not enough."
view_count,View Counts
earn_point_label,Earned Point
download_count,Download Count
rating_count,Rating Count
terms_label,Terms and Conditions
about_img,About Cover Photo
massupload_info,Mass Wallpaper Upload Using CSV File
select_csv_file,Select CSV File
something_wrong_upload,Something wrong in your uploaded data.
pls_upload_csv,Please upload CSV file.
sample_csv_format,Sample CSV is here : https://www.dropbox.com/s/oheyivxfgdlk129/sample.csv?dl=0
csv_upload_instruction,"Please follow those steps at below : <br>
1. Upload images to uploads folder manually via FTP. <br>
2. Upload thumbnail images to uploads/thumbnail folder manully via FTP.<br>
3. Then prepare like CSV format. Sample Here : http://bit.ly/2UvCjRp <br>
4. Need to follow those rules. Here : http://bit.ly/2T1Tjgp <br>
5. You can use Google Sheet to create and export as comma separator. <br>
6. Recommended is around 100 records at one CSV."";"
noti_sent_fail,Fail to send push notification
noti_sent_success,Successfully sent push notification to
reject_message_1,Sorry! Rejected Wallpaper (
reject_message_2,)
approve_message_1,Congratulation! Approved Wallpaper (
approve_message_2,)
uploaded_user,Uploaded User
select_multiple_images,Please select multiple wallpaper images.
multiple_images_message,"Note : Your wallpaper images will be save the same for Name, Category,Mode,Color,Type, Tag, Point, Publish, Recommend."
multiple_wallpaper_title,"Multiple Wallpapers Upload""Mode,Color,Type, Tag, Point, Publish, Recommend."""
delete_user_label,Delete Registered User?
user_delete_confirm_message,Do you want to delete all the Registered User?
user_yes_all_label,Yes All
user_no_only_label,Only Category
success_user_delete,Registered User has been successfully deleted
credit,Credit
price_info,Price Information
price_name,Price Name
price_edit,Edit Price
price_add,Add Price
price_search,Search Price
delete_price_label,Delete Price?
price_delete_confirm_message,Do you want to delete Price?
err_price_name,Please provide price name
err_price_len,The length of Price Name must be greater than 4
err_price_exist,Price Name is already existed in the system
success_price_edit,Price has been successfully updated
success_price_add,Price has been successfully added
success_price_delete,Price has been successfully deleted
type_info,Item Type Information
type_name,Type Name
type_edit,Edit Type
type_add,Add Type
type_search,Search Type
delete_type_label,Delete Type?
type_delete_confirm_message,Do you want to delete Type?
err_type_name,Please provide type name
err_type_len,The length of Type Name must be greater than 4
err_type_exist,Type Name is already existed in the system
success_type_edit,Type has been successfully updated
success_type_add,Type has been successfully added
success_type_delete,Type has been successfully deleted
project_name,Project Type Name
project_search,Search Project Type
project_add,Add Project Type
project_info,Project Type Information
project_edit,Edit Project Type
delete_project_label,Delete Project Type?
project_delete_confirm_message,Do you want to delete the project types?
project_yes_all_message,Yes All - Project Type will delete from system.
success_project_edit,Project Type has been successfully updated
success_project_add,Project Type has been successfully added
success_project_delete,Project Type has been successfully deleted
err_project_name,Please provide project type name
err_project_len,The length of Project Type Name must be greater than 4
post_name,Posted By Name
post_search,Search Posted By
post_add,Add Posted By
post_info,Posted By Information
post_edit,Edit Posted By
delete_post_label,Delete Posted By?
post_delete_confirm_message,Do you want to delete the posted by?
post_yes_all_message,Yes All - Posted By will delete from system.
success_post_edit,Posted By has been successfully updated
success_post_add,Posted By has been successfully added
success_post_delete,Posted By has been successfully deleted
err_post_name,Please provide posted by name
err_post_exist,Posted By Name is already existed in the system
err_post_len,The length of Posted By Name must be greater than 4
available_name,Availability Name
available_search,Search Availability
available_add,Add Availability
available_info,Availability Information
available_edit,Edit Availability
delete_available_label,Delete Availability?
available_delete_confirm_message,Do you want to delete the availability?
available_yes_all_message,Yes All - Availability will delete from system.
success_available_edit,Availability has been successfully updated
success_available_add,Availability has been successfully added
success_available_delete,Availability has been successfully deleted
err_available_name,Please provide availability name
err_available_len,The length of Availability Name must be greater than 4
err_available_exist,Availability Name is already existed in the system
ban_info,Home Banner Information
ban_name,Banner Image Name
ban_edit,Edit Home Banner
ban_add,Add Home Banner
ban_image,Banner Image
ban_search,Search Home Banner
delete_ban_label,Delete Home Banner?
ban_delete_confirm_message,Do you want to delete Home Banner Type?
err_ban_name,Please provide home banner name
err_ban_len,The length of Home Banner Name must be greater than 4
err_ban_exist,Home Banner Name is already existed in the system
success_ban_edit,Home Banner has been successfully updated
success_ban_add,Home Banner has been successfully added
success_ban_delete,Home Banner has been successfully deleted
location_info,Item Location Information
location_name,Location Name
location_edit,Edit Location
location_add,Add Location
location_search,Search Location
delete_location_label,Delete Location?
location_delete_confirm_message,Do you want to delete Location?
err_location_name,Please provide Location name
err_location_len,The length of Location Name must be greater than 4
err_location_exist,Location Name is already existed in the system
success_location_edit,Location has been successfully updated
success_location_add,Location has been successfully added
success_location_delete,Location has been successfully deleted
blog_add,Add Blog
blog_info,Blog Informations
blog_name,Blog Name
blog_desc,Blog Description
blog_edit,Edit Blogs
success_blog_add,Blogs has been successfully added
success_blog_edit,Blogs has been successfully updated
err_dup_name,Name is already existed in the system
err_blog_exist,Blog Name is already existed in the system
delete_blog_label,Delete Blog?
blog_delete_confirm_message,Are you sure to delete this blog?
success_blog_delete,Blogs has been successfully deleted
err_blog_len,The length of blog Name must be greater than 4
err_blog_name,Please provide blog name
blog_search,Blog Search
blog_gallery,Blog Gallery
btn_disable,Disable
report_edit,Edit Item Report
total_category_count_label,Total Categories
total_sub_cat_count_label,Total Subcategories
total_blog_count_label,Total Blogs
total_contact_count_label,Total Contact Message
popular_item,Most Popular Item
item_report,Reported Item
items_label,Recently Added Items
item_img,Item Image
popular_item_info,Popular Item Information
popular_item_view,View Popular Item
app_setting_lable,App Setting Information
app_lat_label,Latitude
app_lng_label,Longitude
location_info_label,Location Information
err_chat_history_not_exist,No Record found in chat history
accept_update_success,Accept Offer has been successfully updated
err_accept_update,"Sorry, there is a problem in accept offer"
count_update_success,Reset Count has been successfully updated
err_count_update,"Sorry, there is a problem in reset count"
price_update_success,Price has been successfully updated
err_price_update,"Sorry, there is a problem in price"
err_accept_offer,"Sorry, you could not accept the offer again."
overall_rating,Rating
user_is_verify_do_forgot_password,Your account is verified so please do forgot password.
user_view,View User
user_address,Address
user_city,City
about_me,About Me
verify_type,Verify Type
follower_count,Follower Count
following_count,Following Count
user_profile,Profile Photo
email_verify,Email Verify
facebook_verify,Facebook Verify
google_verify,Google Verify
phone_verify,Phone Verify
condition_name,Condition Name
cond_search,Search Condition
condition_add,Add Condition
condition_info,Item Condition Information
cond_edit,Edit Condition
delete_condition_label,Delete Condition?
condition_delete_confirm_message,Do you want to delete the conditions?
condition_yes_all_message,Yes All - Condition and Items will delete from system.
success_condition_edit,Condition has been successfully updated
success_condition_add,Condition has been successfully added
success_condition_delete,Condition has been successfully deleted
err_condition_name,Please provide condition name
err_condition_len,The length of Condition Name must be greater than 4
err_condition_exist,Condition Name is already existed in the system
cat_module,FBS Categories
overlooking_module,Overlooking
contact_module,Contact Us Message
sys_user_module,System Users
register_user_module,Registered Users
about_module,App About
push_noti_module,Push Notification
analytics_module,Analytics
export_db_module,Export Database
app_setting_module,APP Setting
property_module,Property
popular_property_module,Most Popular Property
projecttype_module,Project Types
postedby_module,Posted By
apikey_module,Api Keys
apis_module,API Setting
availability_module,Availability
rating_module,Most Rating Users
sellertype_module,Seller Type
transmissions_module,Transmissions
banners_module,Home Banner
item_conditions_module,Condition
version_module,App Version
item_currency_module,Currency
item_price_module,Price
item_type_module,Type
blog_module,Blog
item_reports_module,Reported Property
app_setting_module,App Setting
location_module,Location Cities
language_module,Languages
lang_name,Language Name
btn_active,Active
lang_string,Language String
lang_add,Add Language
lang_info,Language Information
lang_symbol,Symbol
lang_search,Search Language
lang_edit,Edit Language
success_lang_edit,Language has been successfully updated
success_lang_add,Language has been successfully added
success_lang_delete,Language has been successfully deleted
err_lang_name,Please provide language name
err_lang_len,The length of Language Name must be greater than 4
err_lang_exist,Language Name is already existed in the system
delete_lang_label,Delete Language?
lang_delete_confirm_message,Do you want to delete all the string under that language together?
lang_yes_all_label,Yes All
lang_no_only_label,Only Language
lang_yes_all_message,Yes All - Language and Items will delete from system.
language_id,Language
lang_string_key,Key
lang_string_value,Value
lang_string_info,Language String Information
select_language,Selected Language
btn_import,Import
csv_symbol_link,Sample csv file here
lang_str_search,Search Language String
success_langstr_import,Language String successfully csv file uploaded
lang_str_add,Add Language String
lang_str_edit,Edit Language String
lang_active,Active
lang_deactive,Deactivate
success_lang_str_edit,Language String has been successfully updated
success_lang_str_add,Language String has been successfully added
err_lang_str_name,Please provide language string name
err_lang_str_len,The length of language string must be greater than 4
err_lang_str_exist,Language String is already existed in the system
lang_title,Deleted Language?
lang_warning,You can't delete active language.
btn_ok,OK
list_lang_label,Languages
list_lang_str_label,Language Strings
err_lang_symbol,Please provide language symbol
entry_group,Entry
reports_group,Reports
user_mang_group,Users Management
miscellaneous_group,Miscellaneous
setting_group,Setting
ple_sub_cat_name,Please Sub Category Name
ple_highlight_info,Please Highlight Information
forget_pwd,Forgot Password?
remove_label,Remove
paid_item_module,Sponsored Property Report
his_info,History Information
start_date_label,Start Date
end_date_label,End Date
amount_label,Amount
payment_method_label,Payment Method
progress_label,Progress
finished_label,Finished
not_yet_start_label,Not yet start
today_label,Today
backend_setting_module,Backend Setting
backend_config_info_lable,Backend Setting Information
sender_name_label,Sender Name
receive_email_label,Receive Email
sender_email_label,Sender Email
img_section,Image Section
fcm_api_key_label,fcm api key
backend_login_img,Backend Login Background Image
backend_logo,Backend Logo
backend_fav_icon,Backend Fav Ico
upload_backend_logo,Upload Backend Logo
upload_fav_icon,Upload Fav Icon
upload_login_img,Upload Login Photo
transaction_module,Transactions History
history_search,Search Transactions History
trans_history_info,Transactions History Information
today_label,Today
second_ago,seconds
minute_ago,minutes
hour_ago,hours
day_ago,days
week_ago,weeks
month_ago,months
year_ago,years
decade_ago,decades
just_now_label,Just Now
ago_label,ago
user_acc_reg_label,New User Account Registration
user_register_success_but_email_not_send,User register success but email not send
pwd_reset_label,Password Reset
hi_label,Hi
pwd_reset_link,Please click the following link to reset your password
reset_link_label,Reset Password
best_regards_label,Best Regards
new_user_acc,Your new User Account has been created. Welcome to Ad House. Please verified with the code at below to active your account.
verify_code_label,Verified Code
hi_admin_label,Hi Admin
name_label,Name
email_label,Email
phone_label,Phone
msg_label,Message
verify_code_sent,Verification code has been sent.
user_id_required,User ID is required.
invalid_login_user_id,User ID is invalid.
already_accept_user,User has been accepted.
sender_id_required,Sender ID is required
success_delete,Successfully Deleted.
success_cat_request,Your request successfully.
err_cat_request,"Sorry, your request not success."
err_chat_history_save,"Sorry, your chat history not able to save."
accept_reset_success,Your chat request successfully.
error_delete_chat_history,"Sorry, your chat history not able to delete."
success_delete_chat_history,Your chat history successfully deleted.
err_soldout_reset,"Sorry, you cannot rest for sold out."
soldout_reset_success,Your reset has been success.
err_item_report,"Sorry, you are not able to item report."
token_already_exist,"Sorry, device token already exist."
err_in_noti_read,"Sorry, notification is not able to read."
success_noti_send,Notification has been sent successfully.
error_noti_send,"Sorry, notification not able to send."
invalid_code,"Sorry, your code is invalid."
forget_pwd,Forgot Password?
remove_label,Remove
btn_no,No
ple_model_name,Please Model Name
err_paid_item_history,Your Ad is not yet finish so it is not able to modify.
paid_config_module,Payment Setting
currency_symbol_label,Currency Symbol (eg; $)
paypal_env_label,Paypal Environment
paypal_merchant_label,Paypal Merchant ID
paypal_pub_label,Paypal Public Key
paypal_pri_label,Paypal Private Key
paypal_enabled_label,Is Paypal Enabled?
stripe_publishable_key,Publishable Key
stripe_secret_key,Secret Key
stripe_enable_label,Is Enabled Stripe Payment?
stripe_label,[Option 2] : Payment With Stripe
paypal_label,[Option 1] : Payment With Paypal Enabled
day_label,Day
paid_config_info_lable,Paid Config Information
paid_currrency_setting,Currency Symbol Setting
paid_paypal_setting,Paypal Setting
paid_stripe_setting,Stripe Setting
overlooking_label,Overlooking
itm_select_overlooking,Overlooking
list_product_nav,Property
prd_add,Add Property
att_add,Add New Attribute
add_att_detail,Add New Attribute Detail
list_attribute_header,Attribute Header List
wrn_no_data,There is no data yet
item_name,Property Name
att_name,Attribute Name
Prd_search_cat,Select Category Name
Prd_search_dis,Select Discount Type
product_gallery,Property Gallery
prd_info,Property Information
rec_prd_info,Recently Added Properties
att_info,Attribute Information
prd_desc,Property Description
prd_high_info,Property Highlight Information
prd_edit,Edit Property
prd_code,Property Code
success_prd_add,Property has been successfully added
success_prd_edit,Property has been successfully updated
success_upload,Image has been successfully updated
delete_prd_label,Delete Property?
prd_yes_all_message,"When delete this property, it will delete all related sub categories and category also. So, do you still want to delete"
success_prd_delete,Property has been successfully deleted
prd_search,Search Property
err_item_name,Please provide property name
err_item_len,The length of Property Name must be greater than 4
err_item_exist,Property Name is already existed in the system
item_gallery,Property Gallery
condition_of_item,Condition Of Property
item_description_label,Description
deal_option_id_label,Deal Option
meet_up_label,Meet Up
mailing_or_delivery_label,Mailing Or Delivery
brand_label,Brand
price,Price
itm_title_label,Title
itm_business_mode,Is Shop?
itm_show_shop,( If show user can order more than one )
itm_is_sold_out,Is Sold Out?
location_info_label,Location Information
itm_address_label,Address
itm_lat_label,Latitude
itm_lng_label,Longitude
itm_select_price,Select Price Type
itm_select_type,Select Property Type
itm_select_currency,Select Property Currency
status_label,Status
select_status_label,Select Status
itm_select_location,Select Property Location
find_location_label,Type & Find location from Google API
itm_select_condition_of_item,Select Condition of property
itm_select_deal_option,Select Deal Option
configuration_info_label,Configuration
price_info_label,Price
floor_number_label,Floor Number
facing_number_label,Facing
postedby_info_label,Posted By
overlooking_label,Overlooking
property_status_label,Property Status
others_label,Others
,
area_info_label,Area
super_build_up_area_label,Super Build Up Area
build_up_area_label,Build Up Area
carpet_area_label,Carpet Area
land_size_label,Land Size
rooms_label,Rooms
bath_rooms_label,Bath Rooms
rooms_confi_label,Rooms Configuration
price_unit_label,Price Unit
price_note_label,Price Note
is_nagotiable_label,Is Negotiable?
floor_level_label,Floor Level
facing_label,Facing
itm_select_posted,Posted By
itm_select_overlooking,Overlooking
property_age_label,Property Age
currently_tenanted_label,Currently Tenanted
itm_select_availabel,Availability
availabel_for_label,Available for
tenure_label,Tenure
construction_status_label,Construction Status
possession_date_label,Possession
itm_select_project,Project Type
property_owner_label,Property Ownership
developer_label,Developer
furnishing_label,Furnishing
flooring_label,Flooring
water_source_label,Water Source
width_of_facing_road_label,Width of facing road
parking_label,Parking
power_backup_label,Power Backup
itm_is_lift,Is Lift?
itm_is_park,Is Park?
itm_is_gymnasium,Is Gymnasium
itm_is_swimming_pool,Is Swimming Pool?
itm_is_security_personnel,Is Security Personnel?
itm_is_gas_pipeline,Is Gas Pipeline?
itm_is_club_house,Is Club House?
itm_is_wheelchair_friendly,Is Wheelchair Friendly?
itm_is_pet_friendly,Is Pet Friendly?
itm_is_maintenance_staff,Is Maintenance Staff?
item_property_module,Reported property
success_backend_edit,Backend Setting has been successfully updated
smtp_section,SMTP Configuration
smtp_host_label,SMTP Host
smtp_host_placeholder,eg: ssl://smtp.hostmail.com
smtp_port_label,SMTP Port Number
smtp_enable,SMTP Enable?
smtp_user_label,SMTP User
smtp_pass_label,SMTP Password
cannot_deactive,"Sorry, it is not able to deactivate."
err_symbol_exist,Language symbol is already existed in the system.
success_paid_edit,Paid configs has been successfully updated
apple_verify,Apple Verify
privacy_policy_module,Privacy Policy
success_policy_edit,Privacy Policy has been successfully updated
success_policy_add,Privacy Policy has been successfully added
paid_razor_setting,Razor Setting
razor_label,[Option 3] : Payment With Razor
razor_key_label,Razor Key
razor_enabled_label,Is Enabled Razor?
btn_promote,Promote
prd_paid_info,Item paid Information
app_is_approval_enabled,"Approval System On?(If this setting is On"" when user update new item it need to approve or reject from super admin.)"
approval_group,Approval
pending_items_module,Pending Items
reject_items_module,Reject Items
disable_items_module,Disable Items
select_status,Select Status?
pending_edit,Edit Pending Item
approve_message_1,Congratulation! Approved Item (
approve_message_2,)
disable_message_1,Sorry! Disable Item (
disable_message_2,)
reject_message_1,Sorry! Reject Item (
reject_message_2,)
reject_edit,Edit Reject Items
disable_edit,Edit Disable Items
noti_sent_fail,Fail to send push notification
noti_sent_success,Successfully sent push notification to
success_app_setting_edit,App Setting has been successfully updated
module_group_lang,Menu Name Setting
group_name,Module Group Name
group_icon,Module Group Icon
group_lang_key,Language Key
group_info,Module Group Information
