,value
group_search,Search Module Group
group_add,Add Module Group
success_group_edit,Module Group has been successfully edited
success_group_add,Module Group has been successfully added
group_edit,Edit Module Group
success_group_delete,Module Group has been successfully deleted
err_group_name,Please provide module group
err_group_len,The length of Module Group Name must be greater than 4
err_group_exist,Module Group Name is already existed
module_lang,Sub Menu Name Setting
module_desc,Description
module_ordering,Ordering
module_add,Add Module
module_info,Module Information
module_name,Module Name
is_show_on_menu,Is Show On Menu?
module_lang_key,Module Language Key
module_select_group,Select Module Group
delete_module_label,Delete Module?
module_delete_confirm_message,Are you sure to delete this Module?
delete_group_label,Delete Module Group?
group_delete_confirm_message,Are you sure to delete this Module Group?
err_module_name,Please provide module name
err_module_len,The length of Module Name must be greater than 4
err_module_exist,Module Name is already existed
module_search,Search Module Name
success_module_edit,Module has been successfully updated.
success_module_add,Module has been successfully added.
module_edit,Edit Module
success_module_delete,Module has been successfully deleted.
approval_yes_all_message,Are you sure to Delete?
err_user_phone_exist,User Phone is already existed.
delete_system_user_label,Delete System User?
system_user_delete_confirm_message,Are you sure to delete this System User?
loc_ordering,Ordering
record_not_found,10001##Sorry record not found.
no_record_pagination,10002##Sorry no more record in the system.
offline_paid_module,Offline Sponsored Items Request
offline_paid_prd_info,Offline Paid Items Information
offline_paid_edit,Edit Offline Paid Item
offline_setting,Offline Setting
offline_label,[Option 4] : Payment With Offline
offline_message,Message
offline_enabled_label,Is Enabled Offline?
prd_paid_info,Paid Item Information
offline_info,Offline Payment Information
offline_title_label,Offline Payment Title
offline_description_label,Offline Payment Description
offline_icon,Offline Payment Icon
offline_search,Search Offline Payment
offline_add,Add Offline Payment
offline_edit,Edit Offline Payment
success_offline_edit,Offline Payment has been successfully updated
success_offline_add,Offline Payment has been successfully added
success_offline_delete,Offline Payment has been successfully deleted
err_offline_name,Please provide offline payment title
err_offline_len,The length of offline payment title must be greater than 4
err_offline_exist,Offline Paymen Title is already existed in the system
delete_offline_label,Delete Offline Payment?
offline_delete_confirm_message,Do you want to delete all the offline payment?
offline_yes_all_label,Yes
offline_no_only_label,Cancel
offline_payment,Offline Payment Setting
offline_paid_module,Offline Sponsored Items Request
img_configuration,Image Configuration
land_width_label,Landscape Width
potrait_height_label,Potrait Height
square_label,Square Height
err_lat,Please provide Latitude
err_lng,Please provide Longitude
err_lat_lng,Your Latitude and Longitude must not be 0.0
offline_yes_all_message,Do you want to delete all the offline payment?
email_verification_enabled," Email Verification Enabled?(If this setting is ""On""when user register by using email it will send verification code to user registered email.)"
user_auto_approved,Your new User Account has been created. Welcome to Ad Houses.
user_not_able_delete," ""Sorry  this is system account so it is not able to deactivate."""
success_block,User has been successfully blocked.
success_unblock,User has been successfully unblocked.
no_user_unblock,Unable to unblock the user.
unable_to_report,Unable to report the item because it is your own item.
success_logout,User has been successfully logout.
already_report,You have already reported to this item.
lat_invlaid,Latitude must be between -90 and 90 degrees inclusive.
lng_invlaid,Longitude must be between -180 and 180 degrees inclusive.
paystack_setting,Paystack Setting
paystack_label,[Option 5]: Payment with Paystack
paystack_key_label,Paystack Key
paystack_enabled_label,Is Paystack Enabled?
purchase_add,Add In App Product
in_app_purchase_info,In App Purchased Informations
app_purchase_product_id_label,In App Purchased Product Id
purchase_description_label,Description
purchase_type_label,Type
err_purchase_description,Please Provide Description
success_purchase_edit,In App Purchased has been successfully updated.
delete_purchase_label,Delete In App Purchased?
purchase_yes_all_message,Do you want to delete In App Purchased?
success_purchase_delete,In App Purchased has been successfully deleted.
in_app_purchased_setting,In App Purchased Setting
purchase_key_label,You cam make the payment with in app purchased
purchase_enabled_label,Is Purchase Enabled?
in_app_purchases,Payment In App Purchased
err_purchase_id,Please Provide Purchase Id.
btn_duplicate,Duplicate
success_prd_duplicate_add,Duplicate Item has been successfully added.
deeplink_section,Deep Linking Section
dyn_link_key_label,Dynamic link key
dyn_link_url_label,Dynamic linking url
dyn_link_package_name_label,Dynamic linking package name
dyn_link_domain_label,Dynamic linking domain
dyn_link_deep_url_label,Deep linking url
prd_dynamic_link_label,Product Dynamic Link
dyn_link_package_name_ios,Dynamic linking IOS package name
dyn_link_ios_appstore_id,Dynamic Linking IOS AppStore Id
location_townships,Location Townships
location_township_add,Add Location Township
location_township_name,Location Townships Name
township_name,Township Name
err_township_name,Please provide Township Name
err_township_len,The length of Township Name must be greater than 4
township_search,Search Township
success_township_edit,Township has been successfully updated
success_township_add,Township has been successfully added
property_by,Property By
property_add,Add Property By
property_search,Search Property By
property_info,Property By Information
property_name,Property By Name
success_property_add,Property By has been successfully added.
success_property_edit,Property By has been successfully edited.
success_property_delete,Property By has been successfully deleted.
err_property_name,Please Provide Property By Name.
err_property_len,The length of Property By Name must be grater than 4.
err_property_exist,Property By Name has been already existed.
delete_property_label,Delete Property By?
property_delete_confirm_message,Do you want to delete the property by?
property_edit,Edit Property By
amenities,Amenities
amenity_name,Amenity Name
amenity_add,Add Amenity
amenity_img,Amenity Image
amenities_info_label,Amenity Information
success_amenity_add,Amenity has been successfully added.
success_amenity_edit,Amenity has been successfully edited.
delete_amenity_label,Delete Amenity?
amenity_delete_confirm_message,Do you want to delete the amenity?
amenity_edit,Edit Amenity
amenity_search,Search Amenity
success_amenity_delete,Amenity has been successfully deleted.
color,Color
purchase_search,Search In App Purchase
purchase_edit,Edit In App Purchase
item_property_name,Property By Name
area_label,Area
configuration_label,Configuration
itm_select_property,Select Property By
is_negotiable,Negotiable
itm_select_location_township,Select Property Location Township
itm_select_location_city,Select Property Loction City
itm_select_postedby,Select Posted By
Prd_search_location_township,Select Property Location Township
agents,Apply Agent Lists
data_delete_info,Data Deletion Policy Information
success_data_deletion_add,Data Deletion Policy has been successfully added.
success_data_deletion_edit,Data Deletion Policy has been successfully updated.
data_deletion_module,Data Deletion Policy
data_deletion_policy_url,Data Deletion Policy URL
Data_deletions_policies,Data Deletion Policies
Privacy_policies,Privacy Policies
privacy_policy_url,Privacy Policy URL
total_property_count_label,Total Property By
total_postedby_count_label,Total Posted By
propertyby_img,Property By Photo
propertyby_icon,Property By Icon
floor_label,Floor No
owner_name,Owner Name
owner_of_item,Owner of Item
payment_status,Payment Status
waiting_for_payment_label,Waiting For Approval
paid_label,Paid
paid_reject_label,Reject
select_payment_status_label,Select Payment Status Label
is_sub_location,"Sub Location On?(If this setting is ""On"" when the user open the app the user need to choose sub location(township) under the location(city) )"
thumbnail_generators_lng,Thumbnail Generator
btn_create_thumbnail,Thumbnail (1x2x3x) Generator
thumb_1x_label,Thumbnail 1x Image Size
thumb_2x_label,Thumbnail 2x Image Size
thumb_3x_label,Thumbnail 3x Image Size
image_lists_lng,Image Lists
img_name,Image Name
success_img_create,"Thumbnail 2x,3x has been created successfully."
img_not_exist,Image has not existed in upload folder.
recommended_size_img,Recommended Size : 400 x 200
recommended_size_icon,Recommended Size : 200 x 200
user_social_info_override,"Ignore user's social information? If checked, the user's social information will be overwritten when you log in with (google, facebook, phone and apple, etc ...)"
applied_date_label,Applied Date (DD/MM/YYYY)
pending,Pending
verified,Verified
rejected,Rejected
all,All
currency_info,Currency Information
is_default,Default
success_agent_edit,Agent has been successfully updated
agent_edit,Edit Agent
cannot_apply_agent,Sorry! You cannot apply agent.
app_token_label,App Token (for Facebook profile picture)
already_sold_out,The item has already sold out and you can't make offer.
is_show_email,Show Email
is_show_phone,Show Phone
township_success_edit,Township have been updated successfully.
already_agent,You can't apply agent again because you are an agent already.
agent_pending,"You are still in pending, please wait admin's approval."
success_agent_delete,Agent has been deleted successfully.
cannot_sold_out,You cannot sold out the item.
cannot_chat,You cannot chat this item.
you_bought,You bought
item_video_label,Item Video
item_video_icon_label,Item Video Icon
price_cannot_zero,Price cannot be zero
err_price,Please provide item price
deeplink_note_label,"Note - Dynamic link of item has been generated by these above settings. If you want to regenerate with the new setting, please change the setting here :"
go_to_be_setting_label,Go to backend setting
thumb2x_3x_settting_off,"Create thumbnail2x,3x setting is OFF."
create_thumb2x_folder,"The Thumbnail2x folder does not exist, please create it first. Or you can off create thumb2x,3x setting."
create_thumb3x_folder,"The Thumbnail3x folder does not exist, please create it first. Or you can off create thumb2x,3x setting."
thumb2x_already_existed,The image has already existed in the thumbnail2x folder.
thumb3x_already_existed,The image has already existed in the thumbnail3x folder.
thumb2x_thumb3x_already_existed,The image has already existed in thumbnail2x and thumbnail3x folders.
thumbnail_generator_label,It will generate the thumbnails images for each item. Please take note that this process will take some time based on your data
is_thumb2x_3x_generate,"Thumbnail 2x,3x Setting On? (if this setting is ""On"" when you upload the image, it will generate thumbnail 2x and thumbnail 3x automatically.)"
err_currency_symbol,Please provide currency symbol.
Item_currency,Item currency
Image_lists,Image Lists
Thumbnail_generators,Image Generators
demo_login,Login with demo account
need_accept_offer,This item has been needed to accept an offer first.
need_make_offer,This item has been needed to make an offer first.
already_accept_offer,This item is already accept an offer.
already_reject_offer,This item has already been rejected the offer.
already_rejected,This item has already been rejected the offer.
cannot_default,"Sorry, it is not able to undefault."
cannot_unpublish,"Sorry, it is not able to unpublish to default currency."
approve_item,Approve Item
disable_item,Disable Item
reject_item,Reject Item
receive_rating_from,Receive rating from
verify_email_not_send_user,Fail to send verify email to
csv_upload_instruction_city,"Please follow those steps below: <br>
1. Then prepare like CSV format. <a href=""https://drive.google.com/file/d/1g3T6H2cdZsGS0UlHji6_BkP_JIa1YBCy/view?usp=sharing"" target=""_blank""> sample csv file here </a> <br>
2. You can use Google Sheet to create and export as a comma separator."
pls_upload_csv,Please upload a CSV file.
something_wrong_upload,Something wrong upload file
err_paid_adpost_history,Sorry
total_city,Total location city :
success_total_city,Succeed location city :
fail_total_city,Failed location city :
total_township,Total location township :
success_total_township,Succeed location township :
fail_total_township,Failed location township :
beacause_db_err,because of a database error.
because_miss_city,because of missing location city
because_miss_township,because of missing location township
csv_upload_instruction_township,"Please follow those steps below: <br>
1. Then prepare like CSV format. <a href=""https://drive.google.com/file/d/1hkLZUDt4pxIqtfPE9k5rhzf4rhK6VJit/view?usp=sharing"" target=""_blank""> sample csv file here </a> <br>
2. You can use Google Sheet to create and export as comma separator.<br>
<b>Note: The city name to be used in the location township CSV file should be added first.</b>"
because_noexit_city,the city name is not existed in the system
item_locations,Item location city
city_existed,is already existed in the system.
township_existed,is already existed in the system.
err_amenity_name,Please provide amenity name
apply_agent_noti_approve,"Congratulations, the admin approved your apply agent."
apply_agent_noti_reject,"Sorry, the admin rejected your apply agent. You can try to apply again."
discount_rate_by_percentage,Discount Rate by Percentage
item_upload_configs,Item Upload Configs
success_item_config_edit,Item Upload Config has been successfully updated
success_item_config_add,Item Upload Config has been successfully added
item_config_label,Item Upload Config Informations
is_block_user,"Block feature On? (If this setting is ""On"", the user can block other unwanted users from seeing their ad post.)"
open,Open
in_progress,In progress
close,Close
demo_data_delete,Demo Data Deletion
demo_data_delete_note_label,Note: All 'users' records will be deleted except the admin account.
success_demo_data_delete,Demo data has been successfully deleted.
btn_submit,Submit
admin_pwd_label,Enter Admin Password
delete_demo_data,Are you sure to delete all demo data?
admin_confirm,Please enter your admin password below to confirm these demo data deletions.
err_blank_pwd,Please fill admin password
err_pwd_invalid,Your password is invalid!
no_messages,No recently messages
no_items,No recently added items
no_users,No recently added users
img_all_delete,All related images will be deleted
images,Images
adpost_history_search,Search Ad Post Transactions History
ad_post_transactions_module,Ad Post Transactions History
package_name,Package Name
buy_ad_post_transactions,Ad Post Transactions History
adpost_history_view,View Ad Post Transactions History
pkg_add,Add Package
pkg_search,Search Package
pkg_edit,Edit Package
success_pkg_edit,Package has been successfully updated.
success_pkg_add,Package has been successfully added.
success_pkg_delete,Package has been successfully deleted.
title,Title
pkg_info,Package Information
post_count,Post count
pkg_select_currency,Select Package Currency
err_pkg_title,Please provide package title
err_pkg_price,Please provide package price
err_pkg_currency,Please provide package currency
err_pkg_post_count,Please provide number of post count
err_pkg_exit,Package Name is already existed in the system
delete_pkg_label,Delete Package?
pkg_delete_confirm_message,Are you sure to delete this Package?
pkg_yes_all_label,Yes All
pkg_no_only_label,Only Package
err_pkg_bought,Sorry
success_pkg_bought,Package Bought Successfully Inserted.
is_paid_app,"Paid App On? (If this setting is ""On"", this app is limited user ad post)"
package_module,Packages
is_subcat_subscription,"Property By Subscription On? (If this setting is ""On"", the user must be able to subscribe to the property by.)"
err_subcat_subscibe_save,Sorry
err_subcat_subscibe_delete,Sorry
success_subcat_subscribe,Success property by subscription.
verify_agent,Agent Verified
rating_view,View Rating User
csv_export,CSV Export
Item_reports,Reported Items
report_search,Search reported item
rating_search,Search rating user
car_type_label,Car Type
car_location_label,Car Location
err_image,Please provide image upload
unenought_post_count,Not enough post count
btn_back,Back
topics_fe_label,Topics for frontend
deeplink_generators,Deeplink Generators
btn_deeplink_generator,Generate Deeplink
new_item_upload_label,New item uploaded under
success_deeplink_generate,Deeplink has been generated successfully.
deeplink_generator_label,Deeplink Generator
csv_upload_instruction_propertyby,"Please follow those steps below:<br>
1. Upload images to uploads folder manually via FTP.<br>
2. Then prepare like CSV format. <a href=""https://drive.google.com/file/d/1bOy1apUDZWFbmKk2O6JAJsxHqyOkaUQJ/view?usp=sharing"" target=""_blank"">Sample file here</a><br>
3. You can use Google Sheet to create and export as a comma separator."
total_propertyby,Total property by:
success_propertyby,Successed property by:
fail_propertyby,Failed property by:
miss_propertyby_name,because of the missing property by name
miss_propertyby_img,because of the missing property by image in the 'uploads' folder.
miss_propertyby_icon,because of the missing property by icon in the 'uploads' folder.
db_err,because of a database error.
already_existed,is already existed.
unauthorize_item_edit,You don't have permission to update an item because it is not your item.
not_enought_post_count,Not enough post count.
offer_rejected,Offer Rejected!
make_offer,Make Offer!
offer_accepted,Offer Accepted!
image,Image!
about_app,App About
api_setting,API Setting
app_setting,App Setting
fail_push_devices,Fail to push all android and IOS devices.
fail_push_websites,Fail to push all websites.
push_noti_module,Push Notification
app_version,Version
err_title,Please provide the title.
err_title_len,The length of the title must be greater than 4.
remove_label,Remove
all_label,All
approved_label,Approved
reject_label,Reject
err_icon,Please fill upload icon.
start_upload,Start upload
cancel_upload,Cancel upload
add_files,Add files
btn_update,Update
err,Error
btn_start,Start
btn_close,Close
category,Category
added,Added
disable_label,Disable
waiting_approval_label,Waiting for Approval
count,Count
demo_dummy_refresh_hour,Please be aware backend is a demo mode so all those dummy data will be refreshed every one hour.
sys_err_occur,A system error occurred. Please contact your system administrator.
registered_user,Registered User
generate_thumbnail_label,It will generate the thumbnails images for each item. Please take note that this process will take some time based on your data.
max_img_upload_of_item,Maximum Image Upload of Item
err_max_img_blank_save,Please provide maximum image upload of the item.
err_max_img_zero_save,Maximum image upload of the item cannot be zero.
err_max_img_upload,The image of the item is maximum.
price_format,Price Format
price_format_desc,"You need to change according to your format that you need (e.g "",##0.00"" => 2,555.00, ""##0.00"" => 2555.00 ,"".00"" => 2555.00, "",##0"" => 2,555, "",##0.0"" => 2,555.0)"
date_format,Date Format
google_playstore_url,Google Play Store URL
apple_appstore_url,Apple App Store URL
ios_appstore_id,IOS App Store ID
default_order_time,Default Order Time (Minutes)
fb_key,Facebook Key
is_show_token_id,"Token ID On? (If this setting is ""On"", the user can view token id  in notification setting.)"
is_show_subcategory,"Subcategory On? (If this setting is ""On"", the subcategory can be able to use in the application.)"
is_use_thumbnail_as_placeholder,"Use Thumbnail as Placeholder Setting On? (If this setting is ""On"", it will load the thumbnail image first, and later it will load the full image. Or if this setting is ""Off"", it will load the full image directly and for the placeholder image it will use the default placeholder image.)"
admob_section,AdMob Configuration
is_show_admob,"AdMob Setting On? (If this setting is ""On"", the application will display ads.)"
lang_section,Language Configuration
default_language,Default Language
exclude_language,Available Languages
exclude_lang_desc,"(If the language is ""On"", the user can be used this language in the application.)"
default_currency_section,Default Currency Configuration
default_razor_currency,Default Razor Currency
is_razor_support_multi_currency,"Razor Support Multi-Currency On? (If this setting is ""On"", you can accept razor payment in multi-currency in the application.)"
default_flutter_wave_currency,Default Flutterwave Currency
login_section,Login Configuration
show_facebook_login,"Facebook Login On? (If this setting is ""On"", the users can be logged in with Facebook.)"
show_google_login,"Google Login On? (If this setting is ""On"", the users can be logged in with Google.)"
show_phone_login,"Phone Login On? (If this setting is ""On"", the users can be logged in with a phone number.)"
show_main_menu,"Main Menu On? (If this setting is ""On"", the user can view the ""Main Menu"" tab in each shop.)"
show_special_collections,"Special Collections On? (If this setting is ""On"",  the user can view the ""Special Offers"" tab in each shop.)"
show_featured_items,"Featured Items On? (If this setting is ""On"", the user can view the ""Featured Items"" in each shop.)"
show_best_choice_slider,"Best Choice Slider On? (If this setting is ""On"" when the user opens the app, the user can view the best choice collections with slider view.)"
default_loading_limit,Default Loading Limit
category_loading_limit,Category Loading Limit
recent_item_loading_limit,Recent Item Loading Limit
popular_item_loading_limit,Popular Item Loading Limit
discount_item_loading_limit,Discount Item Loading Limit
feature_item_loading_limit,Feature Item Loading limit
block_slider_loading_limit,Block Slider Loading Limit
follower_item_loading_limit,Follower Item Loading Limit
default_limit_section,Default Limit Configuration
block_item_loading_limit,Block Item Loading Limit
date_format_desc,"dd for the day, MM for the month, yyyy for the year, hh for the hour, mm for the minute, ss for the second (e.g. dd-MM-yyyy hh:mm:ss)"
app_config_info_lable,Mobile Setting Information
loc_section,Location Configuration
success_mobile_edit,Mobile Config has been successfully updated.
success_mobile_add,Mobile Config has been successfully added.
err_default_lang,Please provide the default language.
err_default_loading_limit_zero,The default loading limit cannot be zero.
err_default_loading_limit,Please provide the default loading limit.
err_category_loading_limit,Please provide the category loading limit
err_category_loading_limit_zero,The category loading limit cannot be zero.
err_collection_product_loading_limit,Please provide the collection product loading limit.
err_collection_product_loading_limit_zero,Collection product loading limit cannot be zero.
err_discount_product_loading_limit,Please provide the discount product loading limit.
err_discount_product_loading_limit_zero,The discount product loading limit cannot be zero.
err_feature_product_loading_limit,Please provide the featured product loading limit.
err_feature_product_loading_limit_zero,The featured product loading limit cannot be zero.
err_latest_product_loading_limit,Please provide the latest product loading limit.
err_latest_product_loading_limit_zero,The latest product loading limit cannot be zero.
err_shop_loading_limit,Please provide the shop loading limit.
err_shop_loading_limit_zero,Shop loading limit cannot be zero.
err_trending_product_loading_limit,Please provide the trending product loading limit.
err_trending_product_loading_limit_zero,The trending product loading limit cannot be zero.
err_default_order_time,Please provide the default order time.
err_default_order_time_zero,Default order time (minutes) cannot be zero.
err_google_playstore_url,Please provide the google play store URL.
err_apple_appstore_url,Please provide the apple app store URL.
err_ios_appstore_id,Please provide an ios app store id.
err_price_format,Please provide the price format.
err_date_format,Please provide the date format.
err_fb_key,Please provide a facebook key.
default_lang_select,Select default language
mobile_configs,Mobile Config
frontend_configs,Frontend Config
faq_pages_label,FAQ Pages
terms_and_conditions_label,Terms and Conditions
is_use_googlemap,Use Google Map On ?
item_detail_view_count_for_ads,Item detail View Count For Ads
is_show_ads_in_item_detail,Is show Ads in Item Detail ?
after_item_count_admob_once,After Item Count Admob Once
is_show_admob_inside_list,Is show Admob inside list ?
blue_mark_size,Bluemark Size
mile,Mile Range for Nearest Items
video_duration,Video Duration (milliseconds)
image_section,Image Section
profile_image_size,Profile Image Size
upload_image_size,Upload Image Size
chat_image_size,Chat Image Size
promote_section,Promote Section
promote_first_choice_day,Promote First Choice Day or Default Day
promote_second_choice_day,Promote Second Choice Day
promote_third_choice_day,Promote Third Choice Day
promote_fourth_choice_day,Promote Fourth Choice Day
no_filter_with_location_on_map,Is No Filter With location on Map ?
is_show_owner_info,Is show Owner Info?
frontend_config_label,Frontend Config Information
map_key,Map Key
enable_notification,Is Enable Notification ?
fcm_server_key,FCM Server Key
firebase_web_push_key_pair,Firebase Web Push Key Pair
ad_client,Ad Client
ad_slot,Ad Slot
copy_right,Copy Right
google_play_url,Google Play Url
app_store_url,App Store Url
google_setting,Google Setting
app_store_setting,App Store Setting
banner_src,Banner Src
google_map,Google Map
open_street_map,Open Street Map
image_limit,Image Limit
success_frontend_edit,Frontend Config has been successfully updated.
success_frontend_add,Frontend Config has been successfully added.
show_user_profile,Show User Profile ?
is_enable_video_setting,Is Enable Video Setting ?
err_map,Please Provide Map Key
err_price_format,Please Provide Price format
err_fcm_server_key,Please Provide FCM Server key
err_firebase_web_push_key_pair,Please Provide Firebase Web Push key pair
err_ad_client,Please Provide Ad Client
err_copy_right,Please Provide Copy Right
err_google_play_url,Please Provide Google Play Url
err_ad_slot,Please Provide Ad Slot
err_app_store_url,Please Provide App Store Url
err_banner_src,Please Provide Banner Src
err_block_item_loading_limit_zero,Block Item Loading Limit can not be zero
err_block_item_loading_limit,Please Provide Block Item Loading
err_follower_item_loading_limit_zero,Follower Item Loading Limit can not be zero
err_follower_item_loading_limit,Please Provide Follower Item Loading Limit
err_block_slider_loading_limit_zero,Block Slider Loading Limit can not be zero
err_feature_item_loading_limit_zero,Feature Item Loading limit can not be zero
err_feature_item_loading_limit,Please Provide Feature Item Loading limit
err_discount_item_loading_limit_zero,Discount Item Loading Limit can not be zero
err_discount_item_loading_limit,Please Provide Discount Item Loading Limit
err_popular_item_loading_limit_zero,Popular Item Loading Limit can not be zero
err_popular_item_loading_limit,Please Provide Popular Item Loading Limit
err_recent_item_loading_limit_zero,Recent Item Loading Limit can not be zero
err_recent_item_loading_limit,Please Provide Recent Item Loading Limit
err_item_detail_view_count_for_ads_zero,Item detail View Count For Ads can not be zero
err_item_detail_view_count_for_ads,Please Provide Item detail View Count For Ads
err_after_item_count_admob_once_zero,After Item Count Admob Once can not be zero
err_after_item_count_admob_once,Please Provide After Item Count Admob Once
err_profile_image_size_zero,Profile Image Size can not be zero
err_profile_image_size,Please Provide Profile Image Size
err_upload_image_size_zero,Upload Image Size can not be zero
err_upload_image_size,Please Provide Upload Image Size
err_blue_mark_size_zero,Bluemark Size can not be zero
err_blue_mark_size,Please Provide Bluemark Size
err_video_duration_zero,Video Duration can not be zero
err_video_duration,Please Provide Video Duration
err_mile_zero,Mile can not be zero
err_mile,Please Provide Mile
err_chat_image_size_zero,Chat Image Size can not be zero
err_chat_image_size,Please Provide Chat Image Size
ad_post_type,Ad Post Type
err_ad_post_type,Please provide ad post type.
select_ad_post_type,Select Ad Post Type
err_promo_cell_blank_save,Please provide the promoted cell interval no.
err_promo_cell_zero_save,The promoted cell interval no. cannot be zero.
promo_cell_interval_no,Promoted Cell Interval No.
ad_post_section,Ad Post Type Setting
paid_items,Sponsored Items
promo_cell_interval_desc,(The sponsored ads or google ads are going to show in every x no of the list.)
offline_pkg_bought_edit,Edit Offline Package Bought
offline_pkg_bought_search,Search Offline Package Bought
delete_offline_pkg_label,Delete Offline Ad Package Bought?
offline_pkg_delete_message_label,Are you sure to delete the offline ad package bought?
offline_pkg_bought_info,Offline Package Bought Information
bought_user,Bought User
currency_label,Currency
success_offline_pkg_delete,The offline ad package bought has been successfully deleted.
success_offline_pkg_edit,The offline ad package bought has been successfully updated.
success_offline_pkg_add,The offline ad package bought has been successfully added.
offline_paids,Offline Sponsored Items Request
offline_ad_package_bought_request,Offline Ad Package Bought Request
err_image_limit,Please provide the image limit.
err_image_limit_zero_save,The image limit cannot be zero.
err_block_slider_loading_limit,Please provide the block slider loading limit.
err_item_detail_view_count_for_ads,Please provide item detail count for ads.
err_item_detail_view_count_for_ads_zero,Item detail count for ads cannot be zero.
err_promote_fourth_choice_day,Please provide promote the fourth choice day.
err_promote_fourth_choice_day_zero,The promote the fourth choice day cannot be zero.
err_promote_first_choice_day,Please provide promote the first choice day.
err_promote_first_choice_day_zero,The promote the first choice day cannot be zero.
err_promote_second_choice_day,Please provide promote the second choice day.
err_promote_second_choice_day_zero,The promote second choice day cannot be zero.
err_promote_third_choice_day,Please provide promote the third choice day.
err_promote_third_choice_day_zero,The promote the third choice day cannot be zero.
success_image_reorder,The image has been successfully reordered.
unauthorize_reorder_img_edit,You don't have permission to reorder this image because you are not an owner.
no_transaction_yet,You cannot export CSV file because of no transaction.
err_key,Please fill key.
err_key_len,The length of the key must be greater than 4.
org_img_size,Original Image Size
processing_label,Processing
err_photo,Please File Upload Photo
posted_by_loading_limit,Posted By Loading Limit
amenities_loading_limit,Amenities Loading Limit
agent_loading_limit,Agent Loading Limit
err_posted_by_loading_limit_zero,The posted by loading limit cannot be zero.
err_posted_by_loading_limit,Please provide posted by loading limit.
err_agent_loading_limit_zero,The agent loading limit cannot be zero.
err_agent_loading_limit,Please provide the agent loading limit.
err_amenities_loading_limit_zero,The amenities loading limit cannot be zero.
err_amenities_loading_limit,Please provide amenities loading limit.
package_app_purchase_product_id_label,Package In App Purchases Product ID
package_purchase_type_label,Package In App Purchases Type
is_force_login,"Is Force Login On? (If this setting is ""On"", when app start, user must login first.)"
is_language_config,"Is Language Config On? ( If this setting is ""On"", when app start, user must select the language.)"
sold_out_items,Sold Out Items
sold_out_items_module,Sold Out Items
sold_out_item_view,View Sold Items
price_pkg_desc,(The price field is only used for other payments other than IAP (in app purchased).)
currency_pkg_desc,(The currency field is only used for other payments other than IAP (in app purchased).)
languages,Languages
dashboard_label,Dashboard
item_location_cities,Item Location Cities
item location cities,Item Location Cities
item_location_townships,Item Location Townships
item location townships,Item Location Townships
packages,Packages
posted by,Posted By
property by,Property By
items,Items
posted_by,Posted By
property_by,Property By
item price types,Item PriceTypes
item_price_types,Item PriceTypes
paid items,Sponsored Property Report
blogs,Blogs
pendings,Pendings
rejects,Rejects
disables,Disables
agents,Apply Agent Lists
offline paids,Offline Sponsored Items Request
offline_paids,Offline Sponsored Items Request
most popular items,Most Popular Items
most_popular_items,Most Popular Items
view,View
ratings,Ratings
contacts,Contacts
item_report,Item Report
item report,Item Report
transactions,Transactions
date,Date
users,Users
notis,Notis
deeplink generators,Deeplink Generators
api_keys,API Keys
api keys,API Keys
appsettings,App Settings
versions,Versions
abouts,Abouts
item_upload_configs,Item Upload Config
privacy policies,Privacy Policies
privacy_policies,Privacy Policies
data_deletion_policies,Data Deletion Policies
data deletion policies,Data Deletion Policies
topic_label,Topic
backend_config,Backend Config
backend config,Backend Config
paid configs,Payment Setting
offline payments,Offline Payments Setting
offline_payments,Offline Payments Setting
in app purchase,In App Purchase
in_app_purchase,In App Purchase
module_groups,Menu Name Setting
module groups,Menu Name Setting
modules,Sub Menu Name Setting